ID,WORD,LANG,DE,DE_LEN,DE_SILBEN,TR,TR_LEN,TR_SILBEN,KURZ_LEN,KURZ_SILBEN
385,noch,DE,noch,4,1,Hala,4,2,TR/DE,DE
430,benim,TR,Meins,5,1,benim,5,2,TR/DE,DE
431,bağlı,TR,verbunden,9,3,bağlı,5,2,TR,TR
441,öğrencilerim,TR,meine Schüler,13,3,öğrencilerim,12,5,TR,DE
441,falan,TR,wie,3,1,falan,5,2,DE,DE
421,Sportlehrer,DE,Sportlehrer,11,3,Beden eğitimi öğretmeni,23,8,DE,DE
430,Soziolog,DE,Soziolog,8,3,Sosyolog,8,3,TR/DE,TR/DE
441,türkisch,DE,türkisch,8,2,Türkçe,6,2,TR,TR/DE
442,Weiterausbildung,DE,Weiterausbildung,16,5,İleri eğitim,12,4,TR,TR
433,vermeyince,TR,wenn du nicht gibst,19,1,vermeyince,10,4,TR,DE
320,Türken,TR,Türken,6,2,Türken,6,2,TR/DE,TR/DE
443,didaktisch,DE,didaktisch,10,3,didaktik,8,3,TR,TR/DE
308,şüphelenirler,TR,sie werden misstrauisch,23,3,şüphelenirler,13,5,TR,DE
469,diyorum,TR,Ich sage,8,2,diyorum,7,3,TR,DE
443,olarak,TR,Aspekt,6,2,olarak,6,3,TR/DE,DE
471,olarak,TR,Aspekt,6,2,olarak,6,3,TR/DE,DE
441,Realschule§den,MIXED,Realschule§den,14,3,Realschule§den,14,3,TR/DE,TR/DE
426,Schwerin’deymiş,MIXED,Schwerin’deymiş,15,3,Schwerin'deymiş,15,3,TR/DE,TR/DE
488,das,DE,das,3,1,the,3,1,TR/DE,TR/DE
431,Arbeiterwohlfahrt§a,MIXED,Arbeiterwohlfahrt§a,19,5,Arbeiterwohlfahrt§a,19,5,TR/DE,TR/DE
469,kabul,TR,Annahme,7,3,kabul,5,2,TR,TR
471,deutsch,DE,deutsch,7,1,Almanca,7,3,TR/DE,DE
487,1,DE,1,1,1,1,1,1,TR/DE,TR/DE
525,reichen,DE,reichen,7,2,yeterli,7,3,TR/DE,DE
525,yapsak,TR,Lass es uns tun,15,1,yapsak,6,2,TR,DE
539,nicht,DE,nicht,5,1,Olumsuz,7,3,DE,DE
539,haline,TR,hinein,6,2,haline,6,3,TR/DE,DE
541,welche,DE,welche,6,2,Hangi,5,2,TR,TR/DE
527,sen,TR,Du,2,1,sen,3,1,DE,TR/DE
533,okudum,TR,Ich habe gelesen,16,4,okudum,6,3,TR,TR
543,özellikler,TR,Merkmale,8,3,özellikler,10,4,DE,DE
548,ausgehen,DE,ausgehen,8,2,dışarı çıkmak,13,4,DE,DE
548,seviye,TR,Ebene,5,3,seviye,6,3,DE,TR/DE
543,die,DE,die,3,1,the,3,1,TR/DE,TR/DE
553,özet,TR,Zusammenfassung,15,5,özet,4,2,TR,TR
441,üç-beş,TR,drei-fünf,9,2,üç-beş,6,2,TR,TR/DE
442,yaptırdılar,TR,Sie haben es geschafft,22,3,yaptırdılar,11,4,TR,DE
554,B.,DE,B.,2,1,B.,2,1,TR/DE,TR/DE
553,die,DE,die,3,1,the,3,1,TR/DE,TR/DE
582,de,TR,Auch,4,1,de,2,1,TR,TR/DE
574,hat,DE,hat,3,1,sahip olmak,11,3,DE,DE
590,civarı,TR,um,2,1,civarı,6,3,DE,DE
581,ist,DE,ist,3,1,öyle,4,2,DE,DE
469,Semester§imi,MIXED,Semester§imi,12,4,YarıyılŞimi,11,5,TR,DE
429,76'da,MIXED,Vor 76 Jahren,13,2,76 yıl önce,11,2,TR,TR/DE
553,geben,DE,geben,5,2,vermek,6,2,DE,TR/DE
600,acht,DE,acht,4,1,sekiz,5,2,DE,DE
591,zwanzig,DE,zwanzig,7,2,yirmi,5,2,TR,TR/DE
591,istiyor,TR,will,4,1,istiyor,7,3,DE,DE
608,ne,TR,Was,3,1,ne,2,1,TR,TR/DE
592,zwanzig,DE,zwanzig,7,2,yirmi,5,2,TR,TR/DE
615,das,DE,das,3,1,the,3,1,TR/DE,TR/DE
618,die,DE,die,3,1,the,3,1,TR/DE,TR/DE
593,wieviel,DE,wieviel,7,2,Ne kadar,8,2,DE,TR/DE
596,will,DE,will,4,1,istiyor,7,3,DE,DE
620,100,TR,100,3,1,100,3,1,TR/DE,TR/DE
608,Kassette,DE,Kassette,8,3,kaset,5,2,TR,TR
650,ne,TR,Was,3,1,ne,2,1,TR,TR/DE
626,Bakırköy,TR,Bakırköy,8,2,Bakırköy,8,3,TR/DE,DE
626,ab,DE,ab,2,1,uzak,4,2,DE,DE
650,Schwester,DE,Schwester,9,2,Kız kardeş,10,2,DE,TR/DE
567,Südsee,DE,Südsee,6,2,Güney Denizleri,15,5,DE,DE
675,yani,TR,Also,4,2,yani,4,2,TR/DE,TR/DE
689,diyorum,TR,Ich sage,8,2,diyorum,7,3,TR,DE
473,Fremdsprache§m,MIXED,Fremdsprache§m,14,3,Fremdsprache§m,14,3,TR/DE,TR/DE
633,okay,DE,okay,4,2,TAMAM,5,2,DE,TR/DE
706,mu,TR,Ist es,6,1,mu,2,1,TR,TR/DE
553,özet§s,MIXED,özet§s,6,2,özet§s,6,2,TR/DE,TR/DE
695,Türkçe,TR,Türkisch,8,2,Türkçe,6,2,TR,TR/DE
706,Sport,DE,Sport,5,1,spor,4,1,TR,TR/DE
573,Ayça,TR,Ayça,4,1,Ayça,4,2,TR/DE,DE
600,oluyor,TR,es passiert,11,2,oluyor,6,3,TR,DE
602,oluyor,TR,es passiert,11,2,oluyor,6,3,TR,DE
720,yiyoruz,TR,wir essen,9,2,yiyoruz,7,3,TR,DE
721,galiba,TR,wahrscheinlich,14,3,galiba,6,3,TR,TR/DE
719,yiyoruz,TR,wir essen,9,2,yiyoruz,7,3,TR,DE
722,değil,TR,nicht,5,1,değil,5,2,TR/DE,DE
732,de,TR,Auch,4,1,de,2,1,TR,TR/DE
731,gelip,TR,komm und,8,1,gelip,5,2,TR,DE
732,Bielefeld,DE,Bielefeld,9,3,Bielefeld,9,3,TR/DE,TR/DE
733,ne,TR,Was,3,1,ne,2,1,TR,TR/DE
654,geçesiye,TR,passieren,9,3,geçesiye,8,4,TR,DE
765,Bielefeld,DE,Bielefeld,9,3,Bielefeld,9,3,TR/DE,TR/DE
754,nasıl,TR,Wie,3,1,nasıl,5,2,DE,DE
769,işte,TR,bei der Arbeit,14,2,işte,4,2,TR,TR/DE
712,dediğim,TR,was ich gesagt habe,19,3,dediğim,7,3,TR,TR/DE
661,Stadt§ta,MIXED,Stadt§ta,8,1,Stadt§ta,8,1,TR/DE,TR/DE
788,oluyor,TR,es passiert,11,2,oluyor,6,3,TR,DE
723,Westend,DE,Westend,7,2,Batı ucu,8,3,DE,DE
661,dolaşıyorsun,TR,du wanderst,11,2,dolaşıyorsun,12,5,DE,DE
765,Üniversitesi,TR,Universität,11,5,Üniversitesi,12,6,DE,DE
815,Angabe,DE,Angabe,6,3,Bilgi,5,2,TR,TR
769,gidiyorsun,TR,Du gehst,8,1,gidiyorsun,10,4,DE,DE
719,Westend'de,MIXED,Westend'de,10,2,Westend'de,10,2,TR/DE,TR/DE
733,Bielefeld'te,MIXED,Bielefeld'te,12,3,Bielefeld'te,12,3,TR/DE,TR/DE
731,Bielefeld'e,MIXED,Bielefeld'e,11,3,Bielefeld'e,11,3,TR/DE,TR/DE
720,Westend'de,MIXED,Westend'de,10,2,Westend'de,10,2,TR/DE,TR/DE
846,Angabe,DE,Angabe,6,3,Bilgi,5,2,TR,TR
809,alır,TR,dauert,6,1,alır,4,2,TR,DE
769,Bielefeld'e,MIXED,Bielefeld'e,11,3,Bielefeld'e,11,3,TR/DE,TR/DE
862,Angabe,DE,Angabe,6,3,Bilgi,5,2,TR,TR
832,bestehen,DE,bestehen,8,2,meydana gelmek,14,4,DE,DE
832,yapmadı,TR,nicht,5,1,yapmadı,7,3,DE,DE
816,block,LANG3,Block,5,1,engellemek,10,4,DE,DE
857,ob,DE,ob,2,1,ikisinden biri,14,5,DE,DE
836,yapmadı,TR,nicht,5,1,yapmadı,7,3,DE,DE
870,untere,DE,untere,6,3,daha düşük,10,3,DE,TR/DE
870,yaptık,TR,wir haben es getan,18,3,yaptık,6,2,TR,TR
876,nasıldı,TR,wie war es,10,1,nasıldı,7,3,TR,DE
882,kann,DE,kann,4,1,olabilmek,9,4,DE,DE
815,obere,TR,obere,5,3,obere,5,3,TR/DE,TR/DE
886,veya,TR,oder,4,2,veya,4,2,TR/DE,TR/DE
886,gelecek,TR,Zukunft,7,2,gelecek,7,3,TR/DE,DE
836,bestehen,DE,bestehen,8,2,meydana gelmek,14,4,DE,DE
895,öğrencileri,TR,Studenten,9,3,öğrencileri,11,5,DE,DE
842,Ilhan,TR,Ilhan,5,2,Ilhan,5,2,TR/DE,TR/DE
897,için,TR,für,3,1,için,4,2,DE,DE
895,master,LANG3,Master,6,2,usta,4,2,TR,TR/DE
913,yararlı,TR,vorteilhaft,11,3,yararlı,7,3,TR,TR/DE
918,yapsak,TR,Lass es uns tun,15,1,yapsak,6,2,TR,DE
914,master,LANG3,Master,6,2,usta,4,2,TR,TR/DE
921,master,LANG3,Master,6,2,usta,4,2,TR,TR/DE
898,master,LANG3,Master,6,2,usta,4,2,TR,TR/DE
913,master,LANG3,Master,6,2,usta,4,2,TR,TR/DE
914,aslında,TR,Eigentlich,10,3,aslında,7,3,TR,TR/DE
862,obere,TR,obere,5,3,obere,5,3,TR/DE,TR/DE
928,gehen,DE,gehen,5,1,Gitmek,6,2,DE,DE
936,master,LANG3,Master,6,2,usta,4,2,TR,TR/DE
926,arbeiten,DE,arbeiten,8,3,iş,2,1,TR,TR
951,und,DE,und,3,1,Ve,2,1,TR,TR/DE
886,Kniegelenk,DE,Kniegelenk,10,3,Diz eklemi,10,3,TR/DE,TR/DE
953,mi,TR,Ist es,6,1,mi,2,1,TR,TR/DE
954,değil,TR,nicht,5,1,değil,5,2,TR/DE,DE
921,düşünün,TR,darüber nachdenken,18,5,düşünün,7,3,TR,TR
886,Sprunggelenk,DE,Sprunggelenk,12,3,Ayak bileği eklemi,18,6,DE,DE
926,yapıyor,TR,tun,3,1,yapıyor,7,3,DE,DE
928,yapıyor,TR,tun,3,1,yapıyor,7,3,DE,DE
897,Master§ınız,MIXED,Meister§ınız,12,2,Ustanız,7,3,TR,DE
936,unterschiedlich,DE,unterschiedlich,15,4,farklı,6,2,TR,TR
952,hieß,DE,hieß,4,1,çağrıldı,8,3,DE,DE
956,Spitznamen,DE,Spitznamen,10,3,Takma adlar,11,3,DE,TR/DE
897,sa-saçmalık,TR,Unsinn,6,2,sa-saçmalık,11,4,DE,DE
956,nen,TR,nen,3,1,nen,3,1,TR/DE,TR/DE
958,genannt,DE,genannt,7,2,isminde,7,3,TR/DE,DE
999,işte,TR,bei der Arbeit,14,2,işte,4,2,TR,TR/DE
972,ihr,DE,ihr,3,1,o,1,1,TR,TR/DE
983,da,TR,In,2,1,da,2,1,TR/DE,TR/DE
999,İnek,TR,Kuh,3,1,İnek,4,2,DE,DE
1007,meinte,DE,meinte,6,2,söz konusu,10,3,DE,DE
1014,und,DE,und,3,1,Ve,2,1,TR,TR/DE
1017,ne,TR,Was,3,1,ne,2,1,TR,TR/DE
962,Koray,TR,Koray,5,2,Koray,5,2,TR/DE,TR/DE
1004,Çisem,TR,Nieselregen,11,4,Çisem,5,2,TR,TR
989,Gedächtnisstütze,DE,Gedächtnisstütze,16,5,Hafıza yardımı,14,5,TR,TR/DE
955,Bernd,DE,Bernd,5,1,Bernd,5,1,TR/DE,TR/DE
1047,noch,DE,noch,4,1,Hala,4,2,TR/DE,DE
1033,çirkin,TR,hässlich,8,2,çirkin,6,2,TR,TR/DE
1047,abla,TR,ältere Schwester,16,4,abla,4,2,TR,TR
1073,abi,TR,Bruder,6,2,abi,3,2,TR,TR/DE
1073,genannt,DE,genannt,7,2,isminde,7,3,TR/DE,DE
1081,abi,TR,Bruder,6,2,abi,3,2,TR,TR/DE
1081,genannt,DE,genannt,7,2,isminde,7,3,TR/DE,DE
1017,Stoffpuppe,DE,Stoffpuppe,10,3,Bez bebek,9,2,TR,TR
958,Grubi,TR,Gruppe,6,2,Grubi,5,2,TR,TR/DE
957,Grubi,TR,Gruppe,6,2,Grubi,5,2,TR,TR/DE
1060,oynuyor,TR,spielen,7,2,oynuyor,7,3,TR/DE,DE
1099,ne,TR,Was,3,1,ne,2,1,TR,TR/DE
1091,wie,DE,wie,3,1,Nasıl,5,2,DE,DE
1091,yapıyorum,TR,Ich mache,9,2,yapıyorum,9,4,TR/DE,DE
984,Grubi,MIXED,Rauh,4,1,Kaba,4,2,TR/DE,DE
1099,Waschmaschine,DE,Waschmaschine,13,4,çamaşır makinesi,16,6,DE,DE
1094,gittiğim,TR,Ich ging,8,1,gittiğim,8,3,TR/DE,DE
1107,çıktı,TR,Ausgabe,7,3,çıktı,5,2,TR,TR
1102,toll,DE,toll,4,1,Harika,6,3,DE,DE
1111,ne,TR,Was,3,1,ne,2,1,TR,TR/DE
1019,Erni,TR,Erni,4,2,Erni,4,2,TR/DE,TR/DE
1122,das,DE,das,3,1,the,3,1,TR/DE,TR/DE
1136,geliyor,TR,kommt,5,1,geliyor,7,3,DE,DE
1140,das,DE,das,3,1,the,3,1,TR/DE,TR/DE
1108,warum,DE,warum,5,2,Neden,5,2,TR/DE,TR/DE
1146,das,DE,das,3,1,the,3,1,TR/DE,TR/DE
1146,he,TR,Er,2,1,he,2,1,TR/DE,TR/DE
1163,ich,DE,ich,3,1,BEN,3,1,TR/DE,TR/DE
1014,Erni,TR,Erni,4,2,Erni,4,2,TR/DE,TR/DE
1060,Spielautomat,DE,Spielautomat,12,4,Slot makinesi,13,4,DE,TR/DE
1173,ist,DE,ist,3,1,öyle,4,2,DE,DE
919,yapmayıp,TR,nicht tun,9,1,yapmayıp,8,3,TR,DE
1109,unintelligible,DE,unintelligible,14,6,anlaşılmaz,10,4,TR,TR
1114,evde,TR,zu Hause,8,2,evde,4,2,TR,TR/DE
1168,şuna,TR,dazu,4,2,şuna,4,2,TR/DE,TR/DE
1186,yani,TR,Also,4,2,yani,4,2,TR/DE,TR/DE
1110,gehst,DE,gehst,5,1,Gitmek,6,2,DE,DE
1173,Ein,DE,Ein,3,1,A,1,1,TR,TR/DE
1173,O.k.,TR,Pfeil.,6,1,O.k.,4,1,TR,TR/DE
1146,sizin,TR,dein,4,1,sizin,5,2,DE,DE
1089,Oğuz,TR,Oghuz,5,2,Oğuz,4,2,TR,TR/DE
1191,hiç,TR,keiner,6,2,hiç,3,1,TR,TR
1189,yeni,TR,neu,3,1,yeni,4,2,DE,DE
1217,ne,TR,Was,3,1,ne,2,1,TR,TR/DE
1221,und,DE,und,3,1,Ve,2,1,TR,TR/DE
1173,O.k.,TR,Pfeil.,6,1,O.k.,4,1,TR,TR/DE
1193,anam,TR,meine Mutter,12,3,anam,4,2,TR,TR
1226,und,DE,und,3,1,Ve,2,1,TR,TR/DE
1227,falan,TR,wie,3,1,falan,5,2,DE,DE
1174,wolltest,DE,wolltest,8,2,aranan,6,3,TR,DE
1208,Elif,TR,Elif,4,2,Elif,4,2,TR/DE,TR/DE
1109,öğretmen,TR,Lehrer,6,2,öğretmen,8,3,DE,DE
1230,hat,DE,hat,3,1,sahip olmak,11,3,DE,DE
1208,heißt,DE,heißt,5,1,denir,5,2,TR/DE,DE
1221,diye,TR,Sprichwort,10,2,diye,4,2,TR,TR/DE
1173,fe,TR,z.B,3,1,fe,2,1,TR,TR/DE
1231,yapacağım,TR,ich werde es tun,16,2,yapacağım,9,4,TR,DE
1229,o,TR,Er,2,1,o,1,1,TR,TR/DE
1235,gittik,TR,wir gingen,10,2,gittik,6,2,TR,TR/DE
1235,yani,TR,Also,4,2,yani,4,2,TR/DE,TR/DE
1235,Çetin,TR,Hart,4,1,Çetin,5,2,DE,DE
1235,sanki,TR,als ob,6,1,sanki,5,2,TR,DE
1238,falan,TR,wie,3,1,falan,5,2,DE,DE
1200,Darm‘da,MIXED,Natürlich,9,3,Elbette,7,3,TR,TR/DE
1224,o.k.,TR,Pfeil.,6,1,o.k.,4,1,TR,TR/DE
1258,ne,TR,Was,3,1,ne,2,1,TR,TR/DE
1260,ben,TR,ICH,3,1,ben,3,1,TR/DE,TR/DE
1248,ne,DE,ne,2,1,HAYIR,5,2,DE,DE
1203,Akif,TR,Akif,4,2,Akif,4,2,TR/DE,TR/DE
1249,Männer,DE,Männer,6,2,Erkekler,8,3,DE,DE
1227,hat’,DE,hat’,4,1,sahip olmak',12,3,DE,DE
1260,oturdum,TR,Ich setzte mich,15,2,oturdum,7,3,TR,DE
1275,Çetin,TR,Hart,4,1,Çetin,5,2,DE,DE
1275,nicht,DE,nicht,5,1,Olumsuz,7,3,DE,DE
1267,Feinde,DE,Feinde,6,2,Düşmanlar,9,3,DE,DE
1279,diye,TR,Sprichwort,10,2,diye,4,2,TR,TR/DE
1276,steht,DE,steht,5,1,standlar,8,2,DE,DE
1285,böyle,TR,so was,6,1,böyle,5,2,TR,DE
1289,yani,TR,Also,4,2,yani,4,2,TR/DE,TR/DE
1281,hab,DE,hab,3,1,sahip olmak,11,3,DE,DE
1267,Kriegsfeinde,DE,Kriegsfeinde,12,3,Savaş düşmanları,16,5,DE,DE
1294,olarak,TR,Aspekt,6,2,olarak,6,3,TR/DE,DE
1292,o.k,TR,Pfeil,5,1,o.k,3,1,TR,TR/DE
1295,yapıyorum,TR,Ich mache,9,2,yapıyorum,9,4,TR/DE,DE
1295,gut,DE,gut,3,1,iyi,3,2,TR/DE,DE
1296,Heimat,DE,Heimat,6,2,Memleket,8,3,DE,DE
1264,buluşmuş,TR,traf,4,1,buluşmuş,8,3,DE,DE
1296,diyebiliriz,TR,können wir sagen,16,3,diyebiliriz,11,5,TR,DE
1297,oraya,TR,Dort,4,1,oraya,5,3,DE,DE
1233,sınıfa,TR,zum Unterricht,14,3,sınıfa,6,3,TR,TR/DE
1235,Binnurcuğum,MIXED,mein binnurcug,14,3,Binnurcuğum,11,4,TR,DE
1237,Gymnasium§dayız,MIXED,Gymnasium§dayız,15,3,Gymnasium§dayız,15,3,TR/DE,TR/DE
1229,Zeynel’le,MIXED,mit Zeynel,10,2,Zeynel’le,9,2,TR,TR/DE
1304,yapıyor,TR,tun,3,1,yapıyor,7,3,DE,DE
1305,yapıyor,TR,tun,3,1,yapıyor,7,3,DE,DE
1306,öğretmen,TR,Lehrer,6,2,öğretmen,8,3,DE,DE
1298,ganz,DE,ganz,4,1,epeyce,6,3,DE,DE
1298,Jeanine,DE,Jeanine,7,3,Jeanine,7,3,TR/DE,TR/DE
1299,Almanca,TR,Deutsch,7,1,Almanca,7,3,TR/DE,DE
1314,die,DE,die,3,1,the,3,1,TR/DE,TR/DE
1304,Abstand,DE,Abstand,7,2,Mesafe,6,3,TR,DE
1315,ab,DE,ab,2,1,uzak,4,2,DE,DE
1303,dick,DE,dick,4,1,kalın,5,2,DE,DE
1310,wir,DE,wir,3,1,Biz,3,1,TR/DE,TR/DE
1315,yine,TR,wieder,6,2,yine,4,2,TR,TR/DE
1317,zweite,DE,zweite,6,2,ikinci,6,3,TR/DE,DE
1312,gelebilir,TR,kann kommen,11,2,gelebilir,9,4,TR,DE
1319,gittim,TR,Ich ging,8,1,gittim,6,2,TR,DE
1316,yapacaksın,TR,Du wirst,8,1,yapacaksın,10,4,DE,DE
1318,gidiyor,TR,gehen,5,1,gidiyor,7,3,DE,DE
1320,hatte,DE,hatte,5,2,vardı,5,2,TR/DE,TR/DE
1312,Quatsch,DE,Quatsch,7,1,Anlamsız,8,3,DE,DE
1320,Mehmet,TR,Mehmet,6,2,Mehmet,6,2,TR/DE,TR/DE
1293,dayko,TR,Dyko,4,2,dayko,5,2,DE,TR/DE
1322,Mehmet,TR,Mehmet,6,2,Mehmet,6,2,TR/DE,TR/DE
1336,geldim,TR,Ich bin hier,12,1,geldim,6,2,TR,DE
1337,gut,DE,gut,3,1,iyi,3,2,TR/DE,DE
1334,şimdi,TR,Jetzt,5,1,şimdi,5,2,TR/DE,DE
1341,yaz,TR,Sommer,6,2,yaz,3,1,TR,TR
1337,yapıyoruz,TR,wir tun,7,1,yapıyoruz,9,4,DE,DE
1318,Kindergarten§a,MIXED,Kindergarten§a,14,4,Anaokulu,8,4,TR,TR/DE
1348,var,TR,Es gibt,7,1,var,3,1,TR,TR/DE
1260,In'e,MIXED,In'e,4,1,İçeride,7,3,DE,DE
